iter	Logloss
0	0.6723667443
1	0.6544911728
2	0.6384074825
3	0.6243172902
4	0.61179992
5	0.6007084432
6	0.5910160123
7	0.5824140981
8	0.5749230198
9	0.5682748743
10	0.5620177557
11	0.5565539699
12	0.5517780509
13	0.5473465246
14	0.543345092
15	0.5397862956
16	0.5366763071
17	0.5337047164
18	0.5309517548
19	0.5284498849
20	0.526200142
21	0.5240885575
22	0.522199929
23	0.5203463455
24	0.5186444941
25	0.5171378326
26	0.5156434368
27	0.5142598862
28	0.5129223377
29	0.5117449399
30	0.510643542
31	0.5095612317
32	0.5085618877
33	0.5078153492
34	0.5069529379
35	0.5060577674
36	0.5051922985
37	0.504541035
38	0.5039953368
39	0.503372659
40	0.5027984882
41	0.5022272668
42	0.5016709542
43	0.5012936707
44	0.5008275736
45	0.5003117368
46	0.4998860757
47	0.4995103061
48	0.4991711219
49	0.4988268651
50	0.4985202036
51	0.4981735182
52	0.4978614004
53	0.4975577014
54	0.4972586238
55	0.496951491
56	0.4966721516
57	0.496410017
58	0.4961193973
59	0.4958830785
60	0.4956636562
61	0.4954435672
62	0.4952507007
63	0.4950603585
64	0.4948445364
65	0.4946595967
66	0.49449445
67	0.4943444537
68	0.4941397187
69	0.4939801834
70	0.4938080957
71	0.4936809756
72	0.4935238191
73	0.4934126114
74	0.4933264853
75	0.4932249938
76	0.4931254219
77	0.4930203783
78	0.4929211124
79	0.4928310844
80	0.4927091647
81	0.492592289
82	0.4925000585
83	0.4923876581
84	0.4922907214
85	0.4922145282
86	0.4921590835
87	0.4920632527
88	0.4919924726
89	0.491932102
90	0.4918490616
91	0.4917471811
92	0.4916642053
93	0.4915922801
94	0.4915353749
95	0.491457409
96	0.4913658131
97	0.4912979531
98	0.4912550497
99	0.4911881457
100	0.4910852409
101	0.4910031923
102	0.4909551994
103	0.4908812115
104	0.4908455424
105	0.4907821209
106	0.4907327799
107	0.4906668419
108	0.4906201143
109	0.4905851583
110	0.4905213368
111	0.4904767106
112	0.4904262582
113	0.4903854997
114	0.4903147567
115	0.4902683564
116	0.4902393144
117	0.4901893704
118	0.4901556892
119	0.4901059405
120	0.4900644251
121	0.4900341477
122	0.4899956925
123	0.4899643478
124	0.4899238292
125	0.4898789327
126	0.4898400356
127	0.489800295
128	0.4897634256
129	0.4897399467
130	0.4897165979
131	0.4896724332
132	0.4896387715
133	0.4896139187
134	0.4895798561
135	0.4895508146
136	0.4895305579
137	0.489499533
138	0.4894750267
139	0.4894426083
140	0.4894064129
141	0.4893673481
142	0.4893449902
143	0.4893113482
144	0.4892926174
145	0.4892654794
146	0.4892380336
147	0.4892165127
148	0.4892015423
149	0.4891805802
150	0.4891462395
151	0.4891249906
152	0.4891103631
153	0.4890955739
154	0.4890776091
155	0.4890583998
156	0.4890295307
157	0.4890014665
158	0.488976572
159	0.488951521
160	0.4889267254
161	0.4889156775
162	0.4888958431
163	0.4888821218
164	0.4888628878
165	0.4888486531
166	0.4888288662
167	0.4887996311
168	0.4887822384
169	0.4887477254
170	0.4887284351
171	0.4887106797
172	0.4886938417
173	0.4886734206
174	0.4886523229
175	0.4886345978
176	0.4886178007
177	0.4885892459
178	0.488556047
179	0.4885393911
180	0.4885260085
181	0.4885070215
182	0.4884914047
183	0.4884774809
184	0.4884551418
185	0.4884364044
186	0.4884275526
187	0.4884153266
188	0.4884011983
189	0.488392164
190	0.4883775093
191	0.4883766799
192	0.4883635237
193	0.4883601491
194	0.4883439344
195	0.488333358
196	0.4883188013
197	0.4883156883
198	0.4883026167
199	0.4882855826
200	0.4882698654
201	0.488257465
202	0.4882473052
203	0.4882226288
204	0.4882079016
205	0.4881843867
206	0.4881669227
207	0.4881589425
208	0.4881452834
209	0.4881249382
210	0.4881113856
211	0.4880930581
212	0.4880839053
213	0.4880741648
214	0.4880579892
215	0.4880367777
216	0.4880207167
217	0.4880075377
218	0.4879999997
219	0.4879798711
220	0.48795229
221	0.4879444329
222	0.487938672
223	0.4879244349
224	0.4879141114
225	0.4879041488
226	0.4878926479
227	0.4878812685
228	0.487866161
229	0.4878488816
230	0.4878366624
231	0.4878211818
232	0.4878076288
233	0.4877988465
234	0.4877783634
235	0.4877619376
236	0.4877496172
237	0.4877310656
238	0.4877108659
239	0.4877032926
240	0.4876898981
241	0.4876795424
242	0.4876726778
243	0.4876648528
244	0.4876587514
245	0.4876542902
246	0.4876406073
247	0.487636793
248	0.4876268735
249	0.4876138652
250	0.4876043086
251	0.487592089
252	0.4875850754
253	0.4875810074
254	0.4875686624
255	0.487561749
256	0.4875610852
257	0.4875446624
258	0.4875384449
259	0.4875372305
260	0.4875291925
261	0.4875143231
262	0.4875092474
263	0.4875027974
264	0.4874821961
265	0.4874728399
266	0.4874623853
267	0.4874530605
268	0.4874484325
269	0.487439857
270	0.4874329917
271	0.4874175356
272	0.4874074507
273	0.4874040787
274	0.4873928021
275	0.4873912383
276	0.4873870353
277	0.4873782054
278	0.4873670838
279	0.4873632172
280	0.4873442703
281	0.4873386701
282	0.4873302037
283	0.4873160761
284	0.4873097046
285	0.487296297
286	0.4872917796
287	0.487285508
288	0.4872718447
289	0.4872633022
290	0.4872588276
291	0.4872426688
292	0.487236891
293	0.4872282547
294	0.4872262507
295	0.4872219563
296	0.487213541
297	0.4872119413
298	0.4872036136
299	0.4871981178
300	0.4871850085
301	0.4871734514
302	0.4871726773
303	0.4871687517
304	0.4871655653
305	0.4871593293
306	0.4871575702
307	0.4871511477
308	0.4871475409
309	0.4871368004
310	0.4871340976
311	0.4871195354
312	0.4871094901
313	0.4871004652
314	0.4870962036
315	0.4870921971
316	0.4870808663
317	0.4870725914
318	0.4870622121
319	0.4870541911
320	0.4870416516
321	0.4870318394
322	0.4870196542
323	0.4870147228
324	0.4870073074
325	0.487005721
326	0.4870013801
327	0.4869996387
328	0.4869936335
329	0.4869792556
330	0.486971368
331	0.4869651089
332	0.4869619453
333	0.4869528501
