iter	Passed	Remaining
0	710	709376
1	1222	610122
2	1805	599978
3	2444	608741
4	2937	584620
5	3395	562582
6	3842	545138
7	4278	530486
8	4695	517046
9	5038	498841
10	5423	487656
11	5808	478227
12	6222	472425
13	6685	470856
14	7191	472262
15	7635	469580
16	8007	463010
17	8421	459452
18	8894	459261
19	9341	457724
20	9732	453717
21	10113	449575
22	10557	448460
23	11028	448473
24	11456	446822
25	11870	444671
26	12288	442839
27	12831	445440
28	13207	442220
29	13641	441065
30	14052	439259
31	14536	439726
32	14962	438456
33	15227	432643
34	15624	430787
35	16009	428700
36	16432	427686
37	16842	426373
38	17256	425223
39	17732	425572
40	18299	428024
41	18827	429451
42	19335	430330
43	19595	425763
44	20009	424655
45	20397	423033
46	20794	421649
47	21231	421095
48	21652	420234
49	22075	419433
50	22497	418624
51	22945	418307
52	23407	418243
53	23825	417393
54	24253	416718
55	24663	415753
56	25026	414029
57	25430	413018
58	25786	411274
59	26179	410150
60	26611	409642
61	26992	408376
62	27380	407230
63	27866	407553
64	28346	407752
65	28822	407881
66	29195	406563
67	29523	404645
68	29887	403258
69	30239	401751
70	30614	400573
71	30944	398841
72	31367	398320
73	31726	397010
74	32041	395180
75	32379	393662
76	32746	392536
77	33094	391189
78	33423	389655
79	33794	388642
80	34181	387811
81	34548	386779
82	34873	385287
83	35235	384232
84	35578	382992
85	35921	381770
86	36351	381480
87	36677	380115
88	37092	379677
89	37469	378860
90	37832	377912
91	38170	376728
92	38530	375776
93	38912	375051
94	39281	374208
95	39620	373094
96	39971	372106
97	40333	371228
98	40678	370219
99	40997	368978
100	41336	367931
101	41741	367491
102	42099	366636
103	42481	365996
104	42902	365690
105	43289	365100
106	43629	364120
107	44005	363451
108	44365	362654
109	44755	362109
110	45113	361313
111	45494	360708
112	45820	359671
113	46183	358936
114	46569	358384
115	46943	357745
116	47324	357158
117	47684	356424
118	48065	355846
119	48378	354773
120	48722	353944
121	49084	353244
122	49431	352448
123	49772	351616
124	50149	351043
125	50504	350321
126	50881	349758
127	51241	349081
128	51584	348296
129	51910	347401
130	52289	346864
131	52662	346296
132	52980	345369
133	53344	344748
134	53712	344157
135	54065	343475
136	54391	342626
137	54750	341991
138	55092	341254
139	55429	340497
140	55756	339679
141	56128	339144
142	56501	338612
143	56850	337943
144	57179	337163
145	57533	336528
146	57905	336007
147	58261	335394
148	58629	334855
149	58989	334272
150	59360	333753
151	59730	333230
152	60083	332619
153	60481	332254
154	60848	331720
155	61206	331143
156	61589	330697
157	61958	330184
158	62298	329517
159	62619	328752
160	62934	327961
161	63265	327261
162	63605	326612
163	63898	325726
164	64215	324969
165	64558	324347
166	64891	323679
167	65190	322849
168	65531	322231
169	65893	321715
170	66225	321059
171	66570	320469
172	66937	319985
173	67309	319526
174	67636	318858
175	68025	318482
176	68362	317864
177	68751	317491
178	69114	317002
179	69464	316450
180	69836	316002
181	70180	315428
182	70542	314935
183	70860	314249
184	71200	313668
185	71522	313005
186	71824	312265
187	72163	311685
188	72486	311038
189	72834	310505
190	73178	309955
191	73288	308421
192	73701	308172
193	73877	306932
194	74222	306407
195	74603	306024
196	74967	305577
197	75107	304223
198	75495	303880
199	75877	303511
200	76243	303078
201	76569	302488
202	77067	302575
203	77518	302474
204	77911	302142
205	78283	301732
206	78650	301302
207	79042	300970
208	79466	300757
209	79783	300136
210	80159	299744
211	80606	299611
212	80957	299124
213	81307	298632
214	81719	298370
215	82104	298010
216	82489	297646
217	82841	297166
218	83202	296716
219	83532	296162
220	83889	295700
221	84247	295246
222	84571	294671
223	84901	294123
224	85257	293665
225	85611	293199
226	85954	292698
227	86291	292180
228	86658	291764
229	87029	291360
230	87352	290798
231	87704	290331
232	88058	289876
233	88389	289343
234	88732	288852
235	89053	288290
236	89408	287840
237	89738	287312
238	90094	286869
239	90466	286475
240	90843	286100
241	91247	285808
242	91616	285407
243	91990	285019
244	92365	284637
245	92728	284216
246	93110	283854
247	93473	283437
248	93784	282858
249	94135	282407
250	94526	282073
251	94919	281745
252	95278	281315
253	95585	280735
254	95936	280284
255	96281	279818
256	96407	278718
257	96733	278202
258	97067	277711
259	97194	276631
260	97499	276063
261	97855	275639
262	98223	275249
263	98607	274904
264	98964	274485
265	99302	274014
266	99669	273624
267	100039	273243
268	100379	272778
269	100721	272321
270	101042	271808
271	101375	271328
272	101734	270919
273	102075	270463
274	102395	269953
275	102563	269043
276	102907	268599
277	103272	268210
278	103606	267743
279	103918	267220
280	104241	266725
281	104624	266384
282	105016	266067
283	105413	265761
284	105770	265353
285	106129	264953
286	106455	264469
287	106743	263893
288	107074	263424
289	107416	262985
290	107793	262630
291	108155	262239
292	108468	261732
293	108803	261277
294	109146	260840
295	109487	260403
296	109826	259960
297	110142	259463
298	110449	258947
299	110787	258503
300	111162	258147
301	111525	257763
302	111710	256970
303	112041	256514
304	112397	256118
305	112832	255900
306	113176	255476
307	113507	255023
308	113829	254550
309	114208	254206
310	114535	253746
311	114870	253303
312	115200	252851
313	115549	252443
314	115906	252050
315	116264	251661
316	116594	251211
317	116915	250743
318	117238	250279
319	117592	249884
320	117950	249496
321	118311	249116
322	118674	248739
323	119053	248396
324	119409	248004
325	119724	247527
326	120071	247119
327	120421	246717
328	120792	246358
329	121164	246000
330	121522	245614
331	121834	245136
332	122203	244774
333	122554	244375
334	122908	243982
335	123204	243476
336	123565	243096
337	123891	242652
338	124261	242290
339	124593	241858
340	124937	241448
341	125255	240989
342	125609	240598
343	125964	240212
344	126362	239906
345	126726	239534
346	127084	239153
347	127425	238739
348	127779	238350
349	128125	237947
350	128511	237618
351	128842	237188
352	129192	236791
353	129606	236513
354	129956	236118
355	130303	235718
356	130651	235319
357	130968	234866
358	131327	234487
359	131648	234042
360	131971	233601
361	132310	233188
362	132644	232767
363	132968	232329
364	133346	231986
365	133708	231615
366	134061	231227
367	134465	230929
368	134590	230152
369	134967	229808
370	135343	229463
371	135714	229108
372	136100	228780
373	136453	228395
374	136814	228023
375	137145	227603
376	137488	227201
377	137790	226735
378	138118	226311
379	138498	225970
380	138857	225598
381	139227	225242
382	139565	224835
383	139871	224377
384	140224	223994
385	140589	223631
386	140885	223160
387	141026	222443
388	141397	222091
389	141744	221703
390	142108	221340
391	142473	220980
392	142860	220652
393	143118	220126
394	143508	219804
395	143827	219373
396	144134	218924
397	144526	218605
398	144870	218212
